"","id","var","highest","ensemble_df","cell_percentage"
"ZNF177","ZNF177",2.04124145231932,"DP","ENSG00000188629",0.0267881060809001
"OR8D1","OR8D1",2.04124145231932,"DP","ENSG00000196341",0.0267881060809001
"ADH7","ADH7",2.04124145231932,"DP","ENSG00000196344",0.0267881060809001
"OR14A16","OR14A16",2.04124145231932,"DP","ENSG00000196772",0.0267881060809001
"OR11G2","OR11G2",2.04124145231932,"DP","ENSG00000196832",0.0267881060809001
"TOMM20L","TOMM20L",2.04124145231932,"DP","ENSG00000196860",0.0267881060809001
"ZSCAN5B","ZSCAN5B",2.04124145231932,"DP","ENSG00000197213",0.0267881060809001
"TPSB2","TPSB2",2.04124145231932,"DP","ENSG00000197253",0.0267881060809001
"PRB3","PRB3",2.04124145231932,"DP","ENSG00000197870",0.0267881060809001
"TMPRSS11F","TMPRSS11F",2.04124145231932,"DP","ENSG00000198092",0.0267881060809001
"PRR31","PRR31",2.04124145231932,"DP","ENSG00000198454",0.0267881060809001
"B3GNT6","B3GNT6",2.04124145231932,"DP","ENSG00000198488",0.0267881060809001
"C20orf203","C20orf203",2.04124145231932,"DP","ENSG00000198547",0.0267881060809001
"SLC34A3","SLC34A3",2.04124145231932,"DP","ENSG00000198569",0.0267881060809001
"MIRLET7A2","MIRLET7A2",2.04124145231932,"DP","ENSG00000198975",0.0267881060809001
"MIR30C2","MIR30C2",2.04124145231932,"DP","ENSG00000199094",0.0267881060809001
"MIR30D","MIR30D",2.04124145231932,"DP","ENSG00000199153",0.0267881060809001
"MIRLET7A1","MIRLET7A1",2.04124145231932,"DP","ENSG00000199165",0.0267881060809001
"RN7SKP184","RN7SKP184",2.04124145231932,"DP","ENSG00000199218",0.0267881060809001
"RNU4-35P","RNU4-35P",2.04124145231932,"DP","ENSG00000199458",0.0267881060809001
"RF00019","RF00019",2.04124145231932,"DP","ENSG00000199476",0.0535762121618002
"RNU1-94P","RNU1-94P",2.04124145231932,"DP","ENSG00000199497",0.0267881060809001
"RNU6-386P","RNU6-386P",2.04124145231932,"DP","ENSG00000199520",0.0267881060809001
"RNU6-1010P","RNU6-1010P",2.04124145231932,"DP","ENSG00000199627",0.0267881060809001
"SNORA71D","SNORA71D",2.04124145231932,"DP","ENSG00000200354",0.0267881060809001
"RF00279","RF00279",2.04124145231932,"DP","ENSG00000200706",0.0267881060809001
"RNU6-271P","RNU6-271P",2.04124145231932,"DP","ENSG00000200728",0.0267881060809001
"RNU6-810P","RNU6-810P",2.04124145231932,"DP","ENSG00000200871",0.0267881060809001
"RNU6-1251P","RNU6-1251P",2.04124145231932,"DP","ENSG00000201372",0.0267881060809001
"RNY4P23","RNY4P23",2.04124145231932,"DP","ENSG00000201377",0.0267881060809001
"RNU6-1317P","RNU6-1317P",2.04124145231932,"DP","ENSG00000201452",0.0267881060809001
"RNU4-91P","RNU4-91P",2.04124145231932,"DP","ENSG00000201648",0.0267881060809001
"RNU6-534P","RNU6-534P",2.04124145231932,"DP","ENSG00000201747",0.0267881060809001
