"Barcode"	"Cluster"
"314"	"E02_B01_P1-F10_LIG291_5_1"	"DE"
"315"	"F02_B07_P1-F09_LIG253_5_1"	"DE"
"316"	"G12_G04_P1-F11_LIG46_5_1"	"POB"
"317"	"B12_G02_P1-F11_LIG19_5_1"	"POB"
"318"	"D11_F10_P1-F12_LIG209_5_1"	"POB"
"319"	"B11_B06_P3-G03_LIG10_5_1"	"POB"
"320"	"C10_A08_P3-G03_LIG92_5_1"	"POB"
"321"	"B06_E06_P1-F12_LIG86_5_1"	"POB"
"322"	"G11_F02_P3-G03_LIG38_5_1"	"POB"
"323"	"A06_E07_P1-F11_LIG370_5_1"	"POB"
"324"	"E02_B05_P1-F11_LIG90_5_1"	"POB"
"325"	"G06_E10_P1-F12_LIG14_5_1"	"POB"
"326"	"A06_E07_P1-F09_LIG191_5_1"	"POB"
"327"	"A10_A07_P1-F09_LIG98_5_1"	"POB"
"328"	"D06_E09_P1-F12_LIG72_5_1"	"POB"
"329"	"F10_A06_P1-F10_LIG180_5_1"	"POB"
"330"	"B02_B10_P1-F12_LIG171_5_1"	"POB"
"331"	"F06_E06_P1-F10_LIG262_5_1"	"POB"
"332"	"C06_E01_P3-G02_LIG54_5_1"	"POB"
"333"	"A02_B02_P1-F12_LIG141_5_1"	"POB"
"334"	"D12_G11_P1-F09_LIG130_5_1"	"POB"
"335"	"E06_E01_P3-G02_LIG123_5_1"	"POB"
"336"	"A03_C09_P3-G02_LIG91_5_1"	"POB"
"337"	"D11_F09_P1-F10_LIG266_5_1"	"POB"
"338"	"G06_E12_P1-F12_LIG121_5_1"	"POB"
"339"	"A02_B09_P3-G03_LIG208_5_1"	"POB"
"340"	"F10_A06_P1-F12_LIG311_5_1"	"POB"
"341"	"F11_B05_P3-G03_LIG156_5_1"	"POB"
"342"	"E11_B08_P1-F12_LIG333_5_1"	"POB"
"343"	"C11_B09_P1-F10_LIG75_5_1"	"POB"
"344"	"H03_C04_P1-F11_LIG161_5_1"	"POB"
"345"	"F10_A10_P1-F10_LIG285_5_1"	"POB"
"346"	"G06_E05_P1-F12_LIG321_5_1"	"POB"
"347"	"D11_B08_P1-F10_LIG6_5_1"	"POB"
"348"	"C05_D06_P1-F09_LIG179_5_1"	"POB"
"349"	"A12_G03_P1-F09_LIG35_5_1"	"POB"
"350"	"A02_B11_P1-F11_LIG194_5_1"	"POB"
"351"	"C11_B12_P1-F12_LIG154_5_1"	"POB"
"352"	"E05_D12_P1-F09_LIG259_5_1"	"POB"
"353"	"F06_E09_P1-F12_LIG203_5_1"	"POB"
"354"	"C02_B09_P3-G02_LIG224_5_1"	"POB"
